"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Cityworks SR Comments","E 20TH ST & SAINT PAUL ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-06T17:35:25.000","2015-04-27T17:35:25.000","CHARLES NORTH","15-00268163","MD","CLOSED","2015-04-27T11:33:25.000","2015-04-06T18:06:52.000","21218","UPDATED",-95.9514782,35.6101149
NA,"2911  FOREST GLEN RD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-16T12:15:33.000","2015-08-06T12:15:33.000","WEST FOREST PARK","15-00559954","MD","O-WIP","2015-07-27T13:15:33.000",NA,"21216",NA,-76.694426,39.319383
"Cityworks SR Comments","3318  NORTHWAY DR","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-25T22:50:05.000","2015-04-15T22:50:05.000","WOODRING","15-00237963","MD","CLOSED","2015-04-23T11:33:48.000","2015-03-26T02:27:42.000","21234","UPDATED",-76.5422528,39.360909
"Cityworks SR Comments","HARFORD RD &E COLD SPRING LN","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-21T08:45:51.000","2015-05-12T08:45:51.000","MORAVIA-WALTHER","15-00309624","MD","CLOSED","2015-04-24T12:34:15.000","2015-04-21T08:59:12.000","21214","UPDATED",-76.4972104,39.4215075
"Cityworks SR Comments","E 33RD ST & LOCH RAVEN BLVD","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-11-12T09:50:38.000","2014-12-03T09:50:38.000","BETTER WAVERLY","14-00852614","MD","CLOSED","2014-11-13T11:51:51.000","2014-11-12T10:55:23.000","21218","UPDATED",-97.4291472,35.6237229
"Dispatch Work Crew","MORELLO RD &E STRATHMORE AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-09-04T20:39:51.000","2014-09-25T20:39:51.000","LAURAVILLE","14-00668143","MD","CLOSED","2014-10-09T19:15:12.000","2014-10-09T13:14:00.000","21214",NA,-76.5689869,39.351189
"Cityworks SR Comments","500 E 21ST ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-02T12:48:08.000","2015-03-23T12:48:08.000","EAST BALTIMORE MIDWAY","15-00158932","MD","CLOSED","2015-03-04T11:53:36.000","2015-03-02T15:12:32.000","21218","UPDATED",-76.6093731,39.3136948
"Cityworks SR Comments","4813  BELAIR RD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-04-09T15:48:20.000","2015-04-30T15:48:20.000","FRANKFORD","15-00278022","MD","CLOSED","2015-05-27T12:03:24.000","2015-04-09T15:59:38.000","21206","UPDATED",-76.558212,39.333118
"Dispatch Work Crew","1400 N HOWARD ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-02-23T23:03:16.000","2015-03-16T23:03:16.000","BOLTON HILL","15-00139817","MD","CLOSED","2015-04-21T12:34:11.000","2015-02-25T11:27:00.000","21217",NA,-76.6209626,39.3073439
"Dispatch Work Crew","606 N HILTON ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-06-01T23:01:43.000","2015-06-22T23:01:43.000","EDMONDSON VILLAGE","15-00428312","MD","O-WIP","2015-06-22T18:15:20.000","2015-06-05T12:04:00.000","21229",NA,-76.673024,39.294458
"Cityworks SR Comments","HILLEN RD & PENTWOOD RD","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2014-12-20T13:03:21.000","2015-01-10T13:03:21.000","MORGAN STATE UNIVERSITY","14-00946610","MD","CLOSED","2015-02-06T12:31:30.000","2014-12-20T14:34:11.000","21239","UPDATED",-76.5816433,39.3595487
"Dispatch Work Crew","N HOWARD ST & DOLPHIN ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-24T12:33:22.000","2015-04-14T12:33:22.000","MID-TOWN BELVEDERE","15-00231195","MD","CLOSED","2015-05-22T11:43:15.000","2015-03-26T13:30:00.000","21217",NA,-82.1996942,35.180609
