"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"401 E LAKE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-08-04T20:30:24.000","2015-09-23T20:30:24.000","LAKE EVESHAM","15-00618649","MD","DUPOPEN","2015-08-04T20:30:24.000","21212",NA,NA,NA,NA,NA
"2204  PENNSYLVANIA AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-13T15:51:49.000","2015-09-01T15:51:49.000","SANDTOWN-WINCHESTER","15-00549655","MD","OPEN","2015-07-15T12:46:00.000","21217",NA,NA,NA,NA,NA
"1001 S CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-05T13:40:58.000","2015-07-25T13:40:58.000","FEDERAL HILL","15-00440723","MD","CLOSED","2015-06-22T09:49:24.000","21230","Generate Work Order","Sign erected","2015-06-22T09:49:00.000",NA,NA
"2400  BARCLAY ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-15T10:38:18.000","2015-08-04T10:38:18.000","BARCLAY","15-00462460","MD","O-PENDNG","2015-07-14T13:38:38.000","21218",NA,NA,NA,NA,NA
"800 N KENWOOD AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-26T18:12:39.000","2015-05-15T18:12:39.000","MADISON-EASTEND","15-00240646","MD","CLOSED","2015-06-08T16:32:04.000","21205","Generate Work Order","Sign erected","2015-06-08T16:31:00.000",NA,NA
"1117 W 42ND ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-11T22:08:10.000","2015-06-30T22:08:10.000","HOES HEIGHTS","15-00369137","MD","CLOSED","2015-06-29T10:24:39.000","21211","Generate Work Order","Sign erected","2015-06-29T10:24:00.000",NA,NA
"3104  JUNEAU PL","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-18T22:42:17.000","2015-06-07T22:42:17.000","ARCADIA","15-00305517","MD","CLOSED","2015-07-06T09:54:55.000","21214","Generate Work Order","Sign erected","2015-07-06T09:54:00.000",NA,NA
"1900  NORTHBOURNE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-10T23:04:16.000","2015-07-30T23:04:16.000","PERRING LOCH","15-00453577","MD","O-PENDNG","2015-07-14T14:33:00.000","21239",NA,NA,NA,NA,NA
"2400 E FAYETTE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-01T13:27:48.000","2015-07-21T13:27:48.000","PATTERSON PLACE","15-00425753","MD","CLOSED","2015-06-11T12:22:27.000","21223","Dispatch Investigator","Insufficent location information","2015-06-11T12:21:00.000",NA,NA
"1704  CHILTON ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-21T23:03:07.000","2015-06-10T23:03:07.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00312780","MD","CLOSED","2015-07-29T09:48:16.000","21218","Generate Work Order","Sign erected","2015-07-29T09:48:00.000",NA,NA
"4920  SCHAUB AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-01T16:44:12.000","2015-08-20T16:44:12.000","FRANKFORD","15-00517050","MD","OPEN","2015-07-01T16:44:12.000","21206",NA,NA,NA,NA,NA
"566  BRISBANE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-24T05:20:14.000","2015-08-13T05:20:14.000","BEECHFIELD","15-00491231","MD","CLOSED","2015-06-30T13:51:41.000","21229",NA,NA,NA,NA,NA
"1700 E CHASE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-28T15:20:17.000","2015-09-16T15:20:17.000","MIDDLE EAST","15-00596765","MD","OPEN","2015-07-28T16:57:18.000","21205",NA,NA,NA,NA,NA
"2001 E FAIRMOUNT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-15T11:46:24.000","2015-08-04T11:46:24.000","BUTCHER'S HILL","15-00462715","MD","DUPOPEN","2015-06-15T11:46:24.000","21231",NA,NA,NA,NA,NA
"202 S CASTLE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-01T17:19:12.000","2015-05-21T17:19:12.000","UPPER FELLS POINT","15-00256813","MD","CLOSED","2015-05-12T09:56:22.000","21231","Generate Work Order","Sign erected","2015-05-12T09:56:00.000",NA,NA
"7401  PARK HEIGHTS AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-04T18:13:19.000","2015-07-24T18:13:19.000","CROSS COUNTRY","15-00437400","MD","CLOSED","2015-08-04T11:32:03.000","21208","Generate Work Order","Sign erected","2015-08-04T11:31:00.000",NA,NA
"1710 W FAYETTE ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-22T13:59:59.000","2015-09-10T13:59:59.000","FRANKLIN SQUARE","15-00577789","MD","OPEN","2015-07-22T16:46:11.000","21223",NA,NA,NA,NA,NA
"2001 E FAIRMOUNT AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-05T14:34:18.000","2015-06-24T14:34:18.000","BUTCHER'S HILL","15-00349942","MD","DUPCLOSD","2015-07-08T11:52:02.000","21231",NA,NA,NA,NA,NA
"319 E LAKE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-08-04T20:28:24.000","2015-09-23T20:28:24.000","LAKE EVESHAM","15-00618646","MD","OPEN","2015-08-04T20:28:24.000","21212",NA,NA,NA,NA,NA
"4001  SOUTHERN AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-24T21:20:28.000","2015-09-12T21:20:28.000","WILSON HEIGHTS","15-00587602","MD","OPEN","2015-07-24T21:20:28.000","21206",NA,NA,NA,NA,NA
"1213 N GILMOR ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-10T17:57:00.000","2015-07-30T17:57:00.000","SANDTOWN-WINCHESTER","15-00453101","MD","O-PENDNG","2015-07-14T12:48:15.000","21217",NA,NA,NA,NA,NA
"323  MARTINGALE AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-14T13:32:16.000","2015-07-03T13:32:16.000","IRVINGTON","15-00378395","MD","CLOSED","2015-06-15T14:02:16.000","21229",NA,NA,NA,NA,NA
"PENNINGTON AVE & ORDNANCE RD","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-06T13:24:26.000","2015-05-26T13:24:26.000","HAWKINS POINT","15-00266734","MD","CLOSED","2015-06-05T09:50:20.000","21226","Generate Work Order","Sign erected","2015-06-05T09:50:00.000",NA,NA
"701 S CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-20T14:41:11.000","2015-07-09T14:41:11.000","OTTERBEIN","15-00395471","MD","CLOSED","2015-06-22T11:07:22.000","21230","Generate Work Order","Sign erected","2015-06-22T11:07:00.000",NA,NA
"801  OLDHAM ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-12T06:08:18.000","2015-06-01T06:08:18.000","GREEKTOWN","15-00284659","MD","CLOSED","2015-07-09T15:14:03.000","21224","Generate Work Order","Sign erected","2015-07-09T15:13:00.000",NA,NA
"909  STILES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-19T14:57:55.000","2015-09-07T14:57:55.000","LITTLE ITALY","15-00568207","MD","OPEN","2015-07-21T16:41:48.000","21202",NA,NA,NA,NA,NA
