"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"2200  FLEETWOOD AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-09T13:07:40.000","2014-09-10T13:07:40.000","HARFORD-ECHODALE/PERRING PARKWAY","14-00678376","MD","CLOSED","2014-09-12T11:10:19.000",NA,"Dispatch Inspector","Removed broken branch","2014-09-12T11:00:00.000",-76.5714079,39.3670683
"3435  GUILFORD TER","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-09T12:36:51.000","2014-09-10T12:36:51.000","OAKENSHAWE","14-00678184","MD","CLOSED","2014-09-11T11:37:30.000","21218","Dispatch Work Crew","No Cause For Action","2014-09-11T11:36:00.000",-76.612288,39.330805
"1502  KENHILL AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-09T10:04:40.000","2014-09-10T10:04:40.000","BEREA","14-00677623","MD","CLOSED","2014-09-11T11:33:55.000","21213","Dispatch Work Crew","Removed broken branch","2014-09-11T11:33:00.000",-76.57794,39.308311
"600  BARTLETT AVE","BALTIMORE","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-08T18:16:57.000","2014-09-09T18:16:57.000","EAST BALTIMORE MIDWAY","14-00676631","MD","CLOSED","2014-09-11T11:24:32.000","21218","Dispatch Work Crew","Removed broken branch","2014-09-11T11:24:00.000",-76.607687,39.317345
"32 S CALVERTON RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-05T20:02:56.000","2014-09-06T20:02:56.000","BOOTH-BOYD","14-00671118","MD","CLOSED","2014-09-09T14:16:27.000","21223","Dispatch Work Crew","Removed broken branch","2014-09-09T14:16:00.000",-76.653155,39.287048
"3516  HARFORD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-03T15:11:28.000","2014-09-04T15:11:28.000","MAYFIELD","14-00662716","MD","CLOSED","2014-09-08T13:32:56.000","21218","Dispatch Work Crew","Removed broken branch","2014-09-08T13:32:00.000",-76.581474,39.3300241
"7  SAINT GEORGES RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-09-02T11:57:36.000","2014-09-03T11:57:36.000","THE ORCHARDS","14-00657961","MD","CLOSED","2014-09-04T11:23:28.000","21210","Dispatch Work Crew","Removed broken branch","2014-09-04T11:23:00.000",-76.626459,39.3644869
"3425  SAINT AMBROSE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-28T19:56:28.000","2014-08-29T19:56:28.000","CENTRAL PARK HEIGHTS","14-00651027","MD","CLOSED","2014-11-21T14:18:08.000","21215","Dispatch Work Crew","Removed broken branch","2014-11-21T14:16:00.000",-76.671027,39.340782
"4100  GREENSPRING AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-28T12:06:24.000","2014-08-29T12:06:24.000","WOODBERRY","14-00648803","MD","CLOSED","2014-09-02T11:45:02.000","21209","Dispatch Work Crew","Removed broken branch","2014-09-02T11:44:00.000",-76.657023,39.337905
"4400  GREENSPRING AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-27T13:45:39.000","2014-08-28T13:45:39.000","PARKLANE","14-00645878","MD","CLOSED","2014-09-02T12:16:36.000","21209","Dispatch Work Crew","No Cause For Action","2014-09-02T12:16:00.000",-76.6581821,39.3406792
"3502  ROSEDALE RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-27T13:35:07.000","2014-08-28T13:35:07.000","ASHBURTON","14-00645818","MD","CLOSED","2014-09-02T12:13:21.000","21215","Dispatch Work Crew","Removed broken branch","2014-09-02T12:12:00.000",-76.6668399,39.325159
"122 N HIGHLAND AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-26T17:35:11.000","2014-08-27T17:35:11.000","BALTIMORE-LINWOOD","14-00643640","MD","CLOSED","2014-08-28T14:33:43.000","21224","Dispatch Work Crew","Removed broken branch","2014-08-28T14:33:00.000",-76.569787,39.294137
"631  MCKEWIN AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-26T17:31:19.000","2014-08-27T17:31:19.000","WAVERLY","14-00643619","MD","CLOSED","2014-09-02T12:18:03.000","21218","Dispatch Work Crew","Removed broken branch","2014-09-02T12:17:00.000",-76.606548,39.332707
"POWDER MILL LN & WAYNE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-26T13:04:04.000","2014-08-27T13:04:04.000","HOWARD PARK","14-00642064","MD","CLOSED","2014-10-17T11:54:21.000","21207",NA,NA,NA,-75.285081,39.9853127
"HILLEN RD & LYDONLEA WADSWORTH","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-08-25T18:03:09.000","2014-08-26T18:03:09.000","LOCH RAVEN","14-00640265","MD","CLOSED","2014-08-26T17:43:52.000","21239","Dispatch Inspector","No Cause For Action","2014-08-26T17:42:00.000",-76.5816433,39.3595487
