"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"WO - Repair Hydrant","MOUNT HOLLY ST & WOODRIDGE RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-31T11:07:14.000","2015-02-05T11:07:14.000","EDMONDSON VILLAGE","CLOSED","15-00071143","MD","CLOSED","2015-02-07T12:09:51.000","2015-02-05T12:02:54.000","21229",NA,NA
"Cityworks SR Comments","3812  CALLAWAY AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-29T14:45:06.000","2015-02-03T14:45:06.000","CALLAWAY-GARRISON","UPDATED","15-00066389","MD","CLOSED","2015-03-10T20:01:14.000","2015-03-10T23:15:53.000","21215",NA,NA
"WO - Repair Hydrant","500 E MADISON ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-28T11:35:13.000","2015-02-02T11:35:13.000","PENN-FALLSWAY","CLOSED","15-00062729","MD","CLOSED","2015-03-08T15:17:43.000","2015-03-07T15:09:36.000","21202",NA,NA
"Cityworks SR Comments","500 W UNIVERSITY PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-28T11:00:21.000","2015-02-02T11:00:21.000","ROLAND PARK","UPDATED","15-00062627","MD","CLOSED","2015-02-03T12:50:15.000","2015-02-03T14:35:46.000","21210",NA,NA
"WO - Repair Hydrant","600  SCOTT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-26T16:21:28.000","2015-01-31T16:21:28.000","WASHINGTON VILLAGE","CLOSED","15-00058490","MD","CLOSED","2015-03-14T17:39:12.000","2015-03-13T17:35:08.000","21230",NA,NA
"WO - Repair Hydrant","ROBERT ST & DRUID HILL AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-25T17:19:22.000","2015-01-30T17:19:22.000","DRUID HEIGHTS","CLOSED","15-00055752","MD","CLOSED","2015-01-27T13:44:20.000","2015-01-27T13:40:47.000","21217",NA,NA
"Cityworks SR Comments","2122  MARYLAND AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-24T03:10:27.000","2015-01-29T03:10:27.000","CHARLES NORTH","UPDATED","15-00054253","MD","CLOSED","2015-01-27T17:25:02.000","2015-01-27T17:28:51.000","21218",NA,NA
"WO - Repair Hydrant","INGLEWOOD AVE & OLD HARFORD RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-21T14:23:47.000","2015-01-26T14:23:47.000","NORTH HARFORD ROAD","CLOSED","15-00046570","MD","CLOSED","2015-02-05T17:33:27.000","2015-02-04T17:31:22.000","21234",NA,NA
"Cityworks SR Comments","W 29TH ST & HUNTINGDON AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-21T02:33:20.000","2015-01-26T02:33:20.000","REMINGTON","UPDATED","15-00045409","MD","CLOSED","2015-01-27T19:44:28.000","2015-01-27T21:55:59.000","21211",NA,NA
NA,"528  SCOTT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-20T18:07:18.000","2015-01-25T18:07:18.000","WASHINGTON VILLAGE",NA,"15-00044490","MD","DUPCLOSD","2015-01-20T18:07:18.000",NA,"21230",NA,NA
"Cityworks SR Comments","528  SCOTT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-19T14:54:36.000","2015-01-24T14:54:36.000","WASHINGTON VILLAGE","UPDATED","15-00040582","MD","CLOSED","2015-03-14T14:54:12.000","2015-03-14T16:21:45.000","21230",NA,NA
NA,"528  SCOTT ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-01-18T12:55:01.000","2015-01-23T12:55:01.000","WASHINGTON VILLAGE",NA,"15-00039265","MD","DUPCLOSD","2015-01-18T12:55:01.000",NA,"21230",NA,NA
