"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Dispatch lighting Inspector","300 S LOUDON AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-14T01:37:12.000","2014-10-24T01:37:12.000","IRVINGTON","14-00692911","MD","CLOSED","2014-09-16T12:53:01.000","2014-09-15T13:01:00.000","21229",NA,NA,NA
"Dispatch lighting Inspector","1434  MEDFIELD AVE","BALTIMORE","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-11T01:08:39.000","2014-10-21T01:08:39.000","MEDFIELD","14-00684614","MD","CLOSED","2014-09-15T12:10:18.000","2014-09-11T12:02:00.000",NA,NA,NA,NA
"Dispatch lighting Inspector","W MULBERRY ST &N GREENE ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-04T14:44:39.000","2014-10-14T14:44:39.000","SETON HILL","14-00666643","MD","CLOSED","2014-09-05T12:23:36.000","2014-09-05T11:30:00.000","21201",NA,NA,NA
"Dispatch lighting Inspector","2501  TERRA FIRMA RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-03T15:28:10.000","2014-10-13T15:28:10.000","CHERRY HILL","14-00662821","MD","CLOSED","2015-04-06T18:28:51.000","2014-09-11T18:45:00.000","21225",NA,NA,NA
"Dispatch lighting Inspector","2401  TERRA FIRMA RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-03T15:26:56.000","2014-10-13T15:26:56.000","CHERRY HILL","14-00662817","MD","CLOSED","2014-11-14T12:11:16.000","2014-09-04T11:22:00.000","21225",NA,NA,NA
"Dispatch lighting Inspector","3000 W LANVALE ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-28T12:38:46.000","2014-10-07T12:38:46.000","FRANKLINTOWN ROAD","14-00648949","MD","CLOSED","2014-09-03T12:53:39.000","2014-09-03T12:53:00.000","21216",NA,NA,NA
"Dispatch lighting Inspector","3733  BEECH AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-25T15:49:54.000","2014-10-04T15:49:54.000","WYMAN PARK","14-00639608","MD","CLOSED","2015-01-30T16:29:01.000","2015-01-30T16:23:00.000","21211",NA,NA,NA
NA,"1732 E CHASE ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-25T14:15:11.000","2014-10-04T14:15:11.000","MIDDLE EAST","14-00639021","MD","CLOSED","2014-11-06T12:52:31.000",NA,"21205",NA,NA,NA
NA,"1480  BOYLE ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-22T02:30:41.000","2014-10-01T02:30:41.000","RIVERSIDE","14-00631789","MD","CLOSED","2014-11-12T18:57:55.000",NA,"21230",NA,NA,NA
NA,"2406  MAYFIELD AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-08-14T12:06:20.000","2014-09-23T12:06:20.000","MAYFIELD","14-00609069","MD","CLOSED","2014-08-15T11:44:03.000",NA,"21213",NA,NA,NA
