"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","1800 E COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-12T20:40:50.000","2015-04-12T20:40:50.000","STONEWOOD-PENTWOOD-WINSTON","Debris Removed (Closed)","15-00285214","MD","CLOSED","2015-04-13T12:54:52.000","2015-04-13T12:54:00.000","21218",NA,NA
"Dispatch Work Crew","1500  83  S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-12T14:58:23.000","2015-04-12T14:58:23.000","MID-TOWN BELVEDERE","No Trouble Found (Closed)","15-00284897","MD","CLOSED","2015-04-12T16:47:55.000","2015-04-12T16:47:00.000","21201",NA,NA
"Dispatch Work Crew","2439  REISTERSTOWN RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-11T21:11:06.000","2015-04-11T21:11:06.000","PARKVIEW/WOODBROOK","Debris Removed (Closed)","15-00284401","MD","CLOSED","2015-04-11T22:56:24.000","2015-04-11T22:56:00.000","21217",NA,NA
"Dispatch Work Crew","1600  CHERRY ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-11T18:46:31.000","2015-04-11T18:46:31.000","CURTIS BAY","No Trouble Found (Closed)","15-00284263","MD","CLOSED","2015-04-11T20:33:05.000","2015-04-11T20:33:00.000","21226",NA,NA
"Dispatch Work Crew","1800 W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-09T22:20:24.000","2015-04-09T22:20:24.000","COLDSPRING","Debris Removed (Closed)","15-00279511","MD","CLOSED","2015-04-09T22:24:55.000","2015-04-09T22:24:00.000",NA,NA,NA
"Dispatch Work Crew","S MARTIN LUTHER KING JR BLVD & RAMP","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-09T19:32:21.000","2015-04-09T19:32:21.000","STADIUM AREA","No Trouble Found (Closed)","15-00279151","MD","CLOSED","2015-04-09T20:29:28.000","2015-04-09T20:29:00.000","21230",NA,NA
"Dispatch Work Crew","W PATAPSCO AVE & WASHINGTON BLVD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-09T19:20:03.000","2015-04-09T19:20:03.000","MORRELL PARK","No Trouble Found (Closed)","15-00278971","MD","CLOSED","2015-04-09T21:58:40.000","2015-04-09T21:57:00.000","21227",NA,NA
"Dispatch Work Crew","I 83 S &W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-09T12:22:25.000","2015-04-09T12:22:25.000","WOODBERRY","No Trouble Found (Closed)","15-00277105","MD","CLOSED","2015-04-21T19:18:01.000","2015-04-21T19:17:00.000","21209",NA,NA
"Dispatch Work Crew","5600  83  S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-09T12:19:09.000","2015-04-09T12:19:09.000","MOUNT WASHINGTON","Debris Removed (Closed)","15-00277076","MD","CLOSED","2015-04-09T15:58:23.000","2015-04-09T15:57:00.000","21209",NA,NA
"Dispatch Work Crew","I 83 N & MARYLAND AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-07T18:29:03.000","2015-04-07T18:29:03.000","CHARLES NORTH","Debris Removed (Closed)","15-00271693","MD","CLOSED","2015-04-08T01:18:29.000","2015-04-07T21:15:00.000","21201",NA,NA
