"","latitude","longitude","deathdate","ptype","druginv","alcinv","accdate"
"259","39.46664167","-76.28648611","0","1","8","0","1032003"
"260","39.35951389","-77.166225","1032003","1","8","0","1032003"
"261","39.54628889","-76.63904722","1042003","1","8","8","1042003"
"262","38.89803333","-76.80735833","0","2","8","8","1042003"
"263","38.89803333","-76.80735833","0","1","8","0","1042003"
"264","38.89803333","-76.80735833","1042003","2","8","8","1042003"
"265","39.10909167","-76.82422222","1052003","1","8","0","1052003"
"266","39.66818056","-77.73678611","1052003","1","8","0","1052003"
"267","38.42787222","-75.25063889","0","1","8","0","1082003"
"268","38.42787222","-75.25063889","1082003","1","8","0","1082003"
"269","39.10990833","-76.69244722","1092003","6","8","8","1092003"
"270","39.10990833","-76.69244722","0","1","8","0","1092003"
"271","39.47503333","-76.22681389","1112003","5","8","8","1112003"
"272","39.47503333","-76.22681389","0","1","8","1","1112003"
"273","39.3723","-76.71160556","1092003","1","8","0","1082003"
"274","39.10310556","-76.84466389","1112003","5","8","1","1112003"
"275","39.10310556","-76.84466389","0","1","8","0","1112003"
"276","39.01144444","-76.97900556","1112003","5","8","8","1112003"
"277","39.01144444","-76.97900556","0","1","8","8","1112003"
"278","38.79772222","-76.76131389","1142003","1","8","8","1142003"
"279","38.79772222","-76.76131389","0","1","8","0","1142003"
"280","38.81278056","-76.67998889","1132003","5","8","0","1122003"
"281","38.81278056","-76.67998889","0","1","8","0","1122003"
"282","38.78490556","-75.72954167","1152003","1","8","8","1152003"
"283","38.78490556","-75.72954167","0","2","8","8","1152003"
"284","38.78490556","-75.72954167","0","2","8","8","1152003"
"285","38.78490556","-75.72954167","0","2","0","8","1152003"
"286","38.78490556","-75.72954167","0","1","8","0","1152003"
"287","38.78490556","-75.72954167","0","2","8","8","1152003"
"288","39.12158056","-77.02475278","1052003","1","8","0","1052003"
"289","39.12158056","-77.02475278","0","1","8","0","1052003"
"290","39.12158056","-77.02475278","1052003","2","8","8","1052003"
"291","39.69346667","-75.87965","1162003","1","8","1","1162003"
"292","38.06433056","-75.538925","1182003","1","8","0","1182003"
"293","38.06433056","-75.538925","0","2","8","8","1182003"
"294","38.06433056","-75.538925","0","1","8","0","1182003"
"295","38.06433056","-75.538925","0","2","8","8","1182003"
"296","39.32436667","-77.01028333","0","1","8","0","1182003"
"297","39.32436667","-77.01028333","1182003","2","8","8","1182003"
"298","39.32436667","-77.01028333","1182003","2","8","8","1182003"
"299","38.58358056","-76.93063333","1092003","1","8","8","1092003"
"300","38.54100278","-77.00966667","1132003","1","8","0","1132003"
"301","38.54100278","-77.00966667","0","1","8","0","1132003"
"302","38.54100278","-77.00966667","0","1","8","0","1132003"
"303","38.54100278","-77.00966667","0","2","8","8","1132003"
"304","38.54100278","-77.00966667","0","2","8","8","1132003"
"305","39.19095278","-77.19224444","1182003","1","8","8","1182003"
"306","39.3997","-76.66337778","1212003","1","8","0","1212003"
"307","39.62560833","-77.69816389","1192003","1","8","0","1192003"
"308","39.62560833","-77.69816389","1192003","1","8","0","1192003"
"309","38.57224167","-76.12071389","1222003","1","8","1","1222003"
"310","38.94563611","-76.85819167","1232003","1","8","1","1232003"
"311","38.94563611","-76.85819167","0","1","8","0","1232003"
"312","38.94563611","-76.85819167","0","1","8","0","1232003"
"313","38.400875","-75.59930833","0","1","8","0","1232003"
"314","38.400875","-75.59930833","1232003","5","8","8","1232003"
"315","39.31114444","-76.45238056","1262003","5","8","1","1242003"
"316","39.31114444","-76.45238056","0","1","8","1","1242003"
"317","39.71570278","-78.94669444","1252003","1","8","0","1252003"
"318","39.71570278","-78.94669444","0","1","8","0","1252003"
"319","39.59989444","-77.82590833","1252003","1","8","1","1252003"
"320","39.59989444","-77.82590833","0","2","8","8","1252003"
"321","39.59989444","-77.82590833","0","2","8","8","1252003"
"322","39.15918611","-76.75791667","1262003","1","8","8","1252003"
"323","38.60776667","-77.03111944","0","1","8","1","1252003"
"324","38.60776667","-77.03111944","0","1","8","0","1252003"
"325","38.60776667","-77.03111944","1252003","2","8","8","1252003"
"326","38.60776667","-77.03111944","0","2","8","8","1252003"
"327","39.02260556","-77.10278056","0","1","8","1","1252003"
"328","39.02260556","-77.10278056","1252003","5","8","8","1252003"
"329","39.42655278","-76.3854","1262003","1","8","8","1262003"
"330","39.42655278","-76.3854","0","1","8","0","1262003"
"331","39.42655278","-76.3854","1262003","1","8","8","1262003"
"332","39.04693889","-76.57966389","1312003","1","8","8","1312003"
"333","39.63659722","-77.80745278","0","1","8","8","2012003"
"334","39.63659722","-77.80745278","2012003","1","8","0","2012003"
"335","39.13268889","-76.58644444","0","1","8","1","2012003"
"336","39.13268889","-76.58644444","0","1","8","1","2012003"
"337","39.13268889","-76.58644444","2012003","2","8","8","2012003"
"338","39.13268889","-76.58644444","0","2","8","8","2012003"
"339","39.65758889","-76.92463333","2012003","1","8","0","2012003"
"340","39.25911389","-76.70041111","0","1","8","0","2022003"
"341","39.25911389","-76.70041111","0","1","8","0","2022003"
"342","39.25911389","-76.70041111","0","2","8","8","2022003"
"343","39.25911389","-76.70041111","0","1","8","0","2022003"
"344","39.25911389","-76.70041111","2022003","2","8","8","2022003"
"345","39.25911389","-76.70041111","0","1","8","0","2022003"
"346","39.25911389","-76.70041111","0","2","8","0","2022003"
"347","39.25911389","-76.70041111","0","1","8","0","2022003"
"348","39.25911389","-76.70041111","0","2","8","8","2022003"
"349","39.25911389","-76.70041111","0","1","8","0","2022003"
"350","39.25911389","-76.70041111","0","2","8","0","2022003"
"351","39.25911389","-76.70041111","0","1","8","0","2022003"
"352","39.25911389","-76.70041111","0","2","8","8","2022003"
"353","39.33378889","-76.66387778","0","1","8","0","1022003"
"354","39.33378889","-76.66387778","1062003","5","8","8","1022003"
"355","38.79388056","-77.02208333","2022003","1","8","8","2022003"
"356","38.79388056","-77.02208333","0","2","8","8","2022003"
"357","38.79388056","-77.02208333","0","1","8","0","2022003"
"358","39.35083333","-76.49526944","2022003","5","8","0","2022003"
"359","39.35083333","-76.49526944","0","2","8","8","2022003"
"360","39.35083333","-76.49526944","0","1","8","0","2022003"
"361","39.11850278","-76.86541667","2072003","1","8","8","2022003"
"362","38.31161667","-75.77830556","2052003","1","8","1","2052003"
"363","39.3779","-76.53928333","2062003","5","8","0","2052003"
"364","39.3779","-76.53928333","0","1","8","0","2052003"
"365","39.27078056","-77.25061111","2052003","1","8","8","2052003"
"366","39.061125","-76.92123889","2072003","1","8","1","2072003"
"367","38.28196111","-75.65007778","0","2","8","8","2072003"
"368","38.28196111","-75.65007778","2072003","1","8","8","2072003"
"369","38.65198611","-76.88056111","2072003","5","8","8","2072003"
"370","38.65198611","-76.88056111","0","1","8","9","2072003"
"371","38.65198611","-76.88056111","0","5","8","8","2072003"
"372","39.39718611","-76.89615278","2082003","1","8","0","2082003"
"373","39.39718611","-76.89615278","0","1","8","0","2082003"
"374","39.39718611","-76.89615278","0","2","8","8","2082003"
"375","39.39718611","-76.89615278","0","2","8","8","2082003"
"376","39.08114722","-77.04708611","0","2","8","8","2082003"
"377","39.08114722","-77.04708611","2082003","1","8","8","2082003"
"378","39.543225","-76.36919722","2102003","1","8","8","2102003"
"379","39.543225","-76.36919722","0","1","8","0","2102003"
"380","39.67476667","-77.79249167","2122003","1","8","8","2112003"
"381","38.22230278","-76.45779167","2112003","1","8","8","2112003"
"382","38.79864167","-76.01436389","2112003","1","8","8","2112003"
"383","38.79864167","-76.01436389","0","1","8","1","2112003"
"384","38.95894444","-76.86562778","2152003","2","8","0","2142003"
"385","38.95894444","-76.86562778","0","1","8","0","2142003"
"386","38.95894444","-76.86562778","0","1","8","0","2142003"
"387","39.56011667","-76.071425","0","1","8","1","2152003"
"388","39.56011667","-76.071425","2152003","1","8","0","2152003"
"389","39.56011667","-76.071425","0","2","8","8","2152003"
"390","39.70302222","-75.8666","2152003","1","8","8","2152003"
"391","38.28656111","-76.49448611","2212003","5","8","1","2212003"
"392","38.28656111","-76.49448611","0","5","8","1","2212003"
"393","38.28656111","-76.49448611","0","1","8","1","2212003"
"394","38.28656111","-76.49448611","0","2","8","8","2212003"
"395","38.28656111","-76.49448611","0","2","8","8","2212003"
"396","39.34742222","-77.27835833","2222003","1","8","8","2222003"
"397","39.34742222","-77.27835833","0","1","8","0","2222003"
"398","39.34742222","-77.27835833","0","2","8","8","2222003"
"399","39.57902778","-76.25863611","0","1","8","0","2222003"
"400","39.57902778","-76.25863611","2232003","1","8","0","2222003"
"401","39.3974","-76.74903611","0","1","8","0","2242003"
"402","39.3974","-76.74903611","2242003","1","8","8","2242003"
"403","39.3974","-76.74903611","0","2","8","8","2242003"
"404","38.50223056","-76.54729167","2262003","1","8","8","2262003"
"405","38.50223056","-76.54729167","2262003","2","8","8","2262003"
"406","38.50223056","-76.54729167","0","1","8","0","2262003"
"407","38.50223056","-76.54729167","0","1","8","0","2262003"
"408","38.14572222","-75.69773056","0","1","8","0","2282003"
"409","38.14572222","-75.69773056","2282003","2","8","8","2282003"
"410","38.14572222","-75.69773056","0","2","0","8","2282003"
"411","39.69815833","-75.89707778","3012003","1","8","0","3012003"
"412","39.69815833","-75.89707778","3012003","1","8","8","3012003"
"413","39.69815833","-75.89707778","3012003","2","8","8","3012003"
"414","39.01696111","-76.69657222","0","1","8","0","3052003"
"415","39.01696111","-76.69657222","0","2","8","8","3052003"
"416","39.01696111","-76.69657222","3052003","1","8","0","3052003"
"417","39.15248889","-77.19825556","3052003","1","8","0","3052003"
"418","39.15248889","-77.19825556","0","2","8","8","3052003"
"419","39.15248889","-77.19825556","0","1","8","0","3052003"
"420","39.15248889","-77.19825556","0","2","8","8","3052003"
"421","39.54674444","-77.01770833","3062003","1","8","8","3062003"
"422","39.63065833","-76.8624","3082003","1","8","0","3072003"
"423","39.63065833","-76.8624","0","1","8","0","3072003"
"424","39.60859444","-77.79486944","3072003","1","8","0","3072003"
"425","39.22453889","-76.65171944","3082003","1","8","0","3082003"
"426","39.22453889","-76.65171944","0","1","8","0","3082003"
"427","38.22381389","-76.45750278","3122003","1","8","1","3122003"
"428","38.22381389","-76.45750278","3122003","2","8","8","3122003"
"429","38.67342778","-76.622275","3152003","1","8","8","3152003"
"430","38.67342778","-76.622275","0","1","8","0","3152003"
"431","39.22424722","-76.80648611","3162003","1","8","0","3162003"
"432","38.41809444","-76.69476111","3142003","2","8","8","3142003"
"433","38.41809444","-76.69476111","3142003","2","8","8","3142003"
"434","38.41809444","-76.69476111","0","1","8","8","3142003"
"435","38.41809444","-76.69476111","3142003","2","8","8","3142003"
"436","38.41809444","-76.69476111","0","2","8","8","3142003"
"437","38.41809444","-76.69476111","0","1","8","8","3142003"
"438","38.99046111","-76.64281389","3172003","1","8","0","3162003"
"439","38.99046111","-76.64281389","0","2","8","8","3162003"
"440","39.54440556","-76.32440833","3302003","1","8","8","3172003"
"441","39.54440556","-76.32440833","0","1","8","0","3172003"
"442","39.54440556","-76.32440833","0","2","8","8","3172003"
"443","39.63318056","-77.72296111","0","1","8","1","3182003"
"444","39.63318056","-77.72296111","0","2","8","8","3182003"
"445","39.63318056","-77.72296111","3182003","2","8","8","3182003"
"446","39.63318056","-77.72296111","3182003","2","8","8","3182003"
"447","39.65622222","-77.93176667","0","1","8","0","3222003"
"448","39.65622222","-77.93176667","0","2","0","8","3222003"
"449","39.65622222","-77.93176667","0","2","0","8","3222003"
"450","39.65622222","-77.93176667","0","1","8","0","3222003"
"451","39.65622222","-77.93176667","3222003","5","8","0","3222003"
"452","39.65622222","-77.93176667","0","2","0","8","3222003"
"453","39.12048611","-75.76030833","3222003","1","8","1","3222003"
"454","39.12048611","-75.76030833","0","1","8","1","3222003"
"455","39.67691667","-75.86325278","0","1","8","1","3232003"
"456","39.67691667","-75.86325278","3232003","2","8","8","3232003"
"457","39.45515","-77.40163333","3242003","1","8","0","3242003"
"458","39.45515","-77.40163333","0","2","8","8","3242003"
"459","39.45515","-77.40163333","0","1","8","0","3242003"
