"subType","name","block","type","numLanes","project","route","length","dateInstalled","lon","lat"
"STRPRD","ROLAND AVE","5000 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",317.8441301,2007,"-76.634482","39.353611"
"STRPRD","ROLAND AVE","5000 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",314.3674814,2007,"-76.634482","39.353611"
"STRPRD","ROLAND AVE","5000 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",287.3269791,2007,"-76.634482","39.353611"
"STRPRD","ROLAND AVE","4900 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",445.8881194,2007,"-76.634813","39.352275"
"STRPRD","ROLAND AVE","4900 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",431.1472729,2007,"-76.634813","39.352275"
"STRPRD","ROLAND AVE","4900 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",131.5354899,2007,"-76.634813","39.352275"
"STRPRD","ROLAND AVE","4800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",439.8318297,2007,"-76.635673","39.350461"
"STRPRD","ROLAND AVE","4800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",436.7933081,2007,"-76.635673","39.350461"
"STRPRD","ROLAND AVE","4800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",173.7261784,2007,"-76.635673","39.350461"
"STRPRD","ROLAND AVE","4800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",172.1280263,2007,"-76.635673","39.350461"
"STRPRD","ROLAND AVE","4800 BLK ROLAND AVE","BIKE LANE",1,"COLLEGETOWN"," ",128.4476857,2007,"-76.635673","39.350461"
"STRPRD","WINSTON AVE","700 BLK WINSTON AVE","SIGNED ROUTE",2,"COLLEGETOWN","COLLEGETOWN",106.7395246,2007,"-76.606502","39.350238"
"STRPRD","N CHARLES","3300 BLK N CHARLES","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",1132.282516,2007,"-76.617141","39.326069"
"STRPRD","N CHARLES ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",13.32667097,2007,NA,NA
"STRPRD","N CHARLES ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",35.31411685,2007,NA,NA
"STRPRD","N CHARLES ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",50.44505311,2007,NA,NA
