"lat","lon","type"
39.2903019,-76.705358,"Hazard"
39.3567506,-76.6708003,"Hazard"
39.3579694,-76.5365723,"Hazard"
39.3287059,-76.58967,"Hazard"
39.319458,-76.550043,"Hazard"
39.296468,-76.689059,"Hazard"
39.3462,-76.556619,"Hazard"
39.3067725,-76.6434147,"Hazard"
39.308692,-76.656349,"Hazard"
39.361517,-76.580353,"Hazard"
39.279738,-76.5434108,"Hazard"
39.348958,-76.5711649,"Hazard"
39.3251668,-76.5618348,"Hazard"
39.266559,-76.678983,"Hazard"
39.2510515,-76.644183,"Hazard"
39.28907,-76.567042,"Hazard"
39.28727,-76.542553,"Hazard"
39.2279793,-76.6010315,"Hazard"
39.3561862,-76.5904113,"Hazard"
39.361589,-76.548098,"Hazard"
39.272463,-76.694889,"Hazard"
39.300334,-76.665672,"Hazard"
39.305042,-76.666269,"Hazard"
39.3539279,-76.5804048,"Hazard"
39.3631058,-76.5935993,"Hazard"
39.3630884,-76.594188,"Hazard"
39.3612123,-76.5944186,"Hazard"
39.32209,-76.5928852,"Hazard"
39.3664879,-76.565261,"Hazard"
39.3593646,-76.5731595,"Hazard"
39.310404,-76.611132,"Hazard"
39.32913,-76.589651,"Hazard"
39.362823,-76.555205,"Hazard"
39.3033472,-76.6225857,"Hazard"
39.364277,-76.557197,"Hazard"
39.2986819,-76.6634253,"Hazard"
39.364711,-76.558296,"Hazard"
39.286288,-76.675376,"Hazard"
39.2853473,-76.6544068,"Hazard"
39.2695667,-76.6493895,"Hazard"
39.263723,-76.631905,"Hazard"
39.310158,-76.645982,"Hazard"
39.359872,-76.594118,"Hazard"
39.2860116,-76.6726044,"Hazard"
39.2858729,-76.6711233,"Hazard"
39.3257659,-76.5608727,"Hazard"
39.292536,-76.57321,"Hazard"
39.2980587,-76.6338931,"Hazard"
39.286081,-76.66841,"Hazard"
39.2978097,-76.6360148,"Hazard"
39.2979245,-76.6372654,"Hazard"
39.2908485,-76.7051535,"Hazard"
39.328183,-76.559875,"Hazard"
39.3488731,-76.5932848,"Hazard"
39.3486819,-76.5950132,"Hazard"
39.250713,-76.62515,"Hazard"
39.3181547,-76.6090045,"Hazard"
39.3468081,-76.6827824,"Hazard"
39.363244,-76.681305,"Hazard"
39.3313895,-76.5921231,"Hazard"
39.357747,-76.607482,"Hazard"
39.298833,-76.710121,"Hazard"
39.2823686,-76.5773877,"Hazard"
39.2832061,-76.5330585,"Hazard"
39.274492,-76.615884,"Hazard"
39.282883,-76.571021,"Hazard"
39.2935523,-76.6547533,"Hazard"
39.2932193,-76.6562704,"Hazard"
39.2903019,-76.705358,"Hazard"
39.3039593,-76.5547473,"Hazard"
39.363527,-76.589763,"Hazard"
39.360201,-76.581644,"Hazard"
39.362901,-76.587609,"Hazard"
39.329016,-76.55163,"Hazard"
39.365524,-76.542703,"Hazard"
39.3578,-76.6062199,"Hazard"
39.3136543,-76.5380869,"Hazard"
39.2888494,-76.6963344,"Hazard"
39.348349,-76.6144659,"Hazard"
39.348246,-76.666086,"Hazard"
39.268518,-76.593624,"Hazard"
39.317772,-76.556963,"Hazard"
39.3443222,-76.5326814,"Hazard"
39.304307,-76.56292,"Hazard"
39.333654,-76.532955,"Hazard"
39.2841573,-76.5550145,"Hazard"
39.3095621,-76.6265182,"Hazard"
39.29022,-76.607688,"Hazard"
39.328078,-76.593565,"Hazard"
39.337606,-76.609196,"Hazard"
39.324956,-76.609826,"Hazard"
39.3275,-76.682156,"Hazard"
39.2804162,-76.6177046,"Hazard"
39.3099976,-76.6239041,"Hazard"
39.341182,-76.595074,"Hazard"
39.3004132,-76.5555182,"Hazard"
39.295174,-76.620068,"Hazard"
39.3464219,-76.609297,"Hazard"
39.2936005,-76.6532378,"Hazard"
39.2947879,-76.661544,"Hazard"
39.2933409,-76.6593339,"Hazard"
39.2940784,-76.6168225,"Hazard"
39.2986791,-76.6537286,"Hazard"
39.2810337,-76.5539682,"Hazard"
39.3529903,-76.685375,"Hazard"
39.323362,-76.666636,"Hazard"
39.30873,-76.6637391,"Hazard"
39.3561528,-76.624156,"Hazard"
39.365757,-76.664792,"Hazard"
39.315395,-76.6133356,"Hazard"
39.3499771,-76.6100747,"Hazard"
39.3650581,-76.5859898,"Hazard"
39.3336363,-76.576834,"Hazard"
39.270736,-76.611782,"Hazard"
39.365724,-76.5862719,"Hazard"
39.351308,-76.547076,"Hazard"
39.2834559,-76.6378151,"Hazard"
39.30111,-76.644739,"Hazard"
39.282033,-76.6303617,"Hazard"
39.360678,-76.623743,"Hazard"
39.2678098,-76.6678926,"Hazard"
39.2833754,-76.6399672,"Hazard"
39.314608,-76.612508,"Hazard"
39.3246518,-76.5563234,"Hazard"
39.292627,-76.58873,"Hazard"
39.27861,-76.5688629,"Hazard"
39.2831601,-76.5971141,"Hazard"
39.2999789,-76.5847372,"Hazard"
39.3457098,-76.5942627,"Hazard"
39.2718231,-76.6100627,"Hazard"
39.3399867,-76.53749,"Hazard"
39.304307,-76.56292,"Hazard"
39.365724,-76.5862719,"Hazard"
39.299872,-76.614524,"Hazard"
39.2901386,-76.6147658,"Hazard"
39.346493,-76.535255,"Hazard"
39.349353,-76.548528,"Hazard"
39.289521,-76.6019286,"Hazard"
39.257534,-76.6626299,"Hazard"
39.366458,-76.614656,"Hazard"
39.3120588,-76.6094737,"Hazard"
39.3187939,-76.551219,"Hazard"
39.3492317,-76.5457961,"Hazard"
39.2816868,-76.6906525,"Hazard"
39.315588,-76.613819,"Hazard"
39.304353,-76.562923,"Hazard"
39.3252962,-76.6844083,"Hazard"
39.3002817,-76.5771343,"Hazard"
39.326204,-76.580271,"Hazard"
39.3556112,-76.5421454,"Hazard"
39.2894234,-76.5846985,"Hazard"
39.2965798,-76.682608,"Hazard"
39.2746489,-76.675412,"Hazard"
39.279934,-76.65377,"Hazard"
39.2965798,-76.682608,"Hazard"
39.2988944,-76.6537372,"Hazard"
39.2902109,-76.58985,"Hazard"
39.2909954,-76.576123,"Hazard"
39.2903019,-76.705358,"Hazard"
39.2847655,-76.5857149,"Hazard"
39.296644,-76.680414,"Hazard"
39.29669,-76.679012,"Hazard"
39.33744,-76.638499,"Hazard"
39.367863,-76.6653722,"Hazard"
39.371359,-76.699732,"Hazard"
39.289549,-76.650297,"Hazard"
39.2903019,-76.705358,"Hazard"
39.36349,-76.5534,"Hazard"
39.3191507,-76.6488168,"Hazard"
39.2814059,-76.561573,"Hazard"
39.283447,-76.565173,"Hazard"
39.2894234,-76.5846985,"Hazard"
39.3464716,-76.6066482,"Hazard"
39.285514,-76.580249,"Hazard"
39.363544,-76.593242,"Hazard"
39.331967,-76.613529,"Hazard"
